Q46: Feeling of happiness,Q48: How much freedom of choice and control,Q50: Satisfaction with financial situation of household,Q54: Frequency you/family (last 12 month): Gone without a cash income,"Q158: Science and technology are making our lives healthier, easier, and more comfortable",Q260: Sex
2,1,2,1,1,1
3,2,2,2,2,1
1,2,2,3,1,1
2,1,2,2,1,1
1,1,1,3,2,2
1,1,2,2,1,1
2,1,1,2,1,1
2,1,2,3,1,1
1,2,1,3,1,2
2,1,2,2,1,2
2,1,1,2,1,2
3,2,2,2,1,1
1,1,1,2,1,1
2,1,2,2,1,2
2,1,1,2,1,1
2,1,2,3,1,2
2,2,2,3,2,1
1,2,2,3,2,2
2,1,2,3,2,2
2,1,1,3,1,1
1,2,1,2,1,1
3,1,2,2,1,2
1,1,1,3,2,2
1,1,2,3,1,2
2,2,2,3,2,1
2,2,2,3,2,1
2,1,1,2,1,1
3,1,2,2,1,2
1,2,2,2,1,1
2,2,2,2,1,2
1,2,1,3,1,1
1,2,2,3,2,2
1,1,1,3,1,1
1,2,2,3,2,1
1,1,1,3,1,2
2,1,2,2,1,2
1,1,2,3,1,2
1,1,1,3,1,1
1,1,1,3,1,1
1,2,2,3,2,2
1,1,2,3,1,2
2,2,1,2,1,2
2,1,1,3,1,1
1,2,1,3,2,1
1,2,1,2,1,2
2,1,1,3,1,1
1,2,2,3,2,2
2,1,2,2,1,2
2,1,1,2,1,2
1,1,1,3,1,2
3,1,1,2,1,2
1,1,1,3,1,2
2,1,2,3,1,2
1,1,1,2,2,2
2,1,1,3,2,2
1,1,2,3,2,2
2,1,1,2,2,2
1,1,1,3,2,2
1,1,1,3,1,2
1,2,2,2,1,2
1,1,1,3,1,2
3,1,1,3,1,2
1,1,1,3,1,2
2,1,2,2,1,1
1,2,1,3,2,1
2,1,1,3,1,2
1,1,1,3,2,1
2,2,2,3,1,2
2,1,1,3,1,2
2,1,1,3,1,2
1,2,1,3,1,1
1,2,1,2,1,2
2,2,1,2,1,1
2,1,2,3,1,1
2,2,2,3,2,2
2,2,1,3,2,2
2,1,1,3,1,2
1,2,2,3,1,2
2,2,2,1,1,2
1,2,1,3,1,2
2,2,2,3,1,1
1,2,2,3,1,2
2,1,2,3,1,2
1,2,1,3,2,2
1,1,1,3,1,2
2,1,1,3,1,1
2,1,2,2,1,2
2,1,2,2,1,1
2,1,2,3,1,1
1,1,2,2,1,2
2,2,1,3,1,2
2,1,1,2,2,2
2,1,1,3,1,1
2,1,2,3,1,2
1,1,1,3,1,1
1,1,1,2,1,1
2,1,1,3,1,2
2,2,1,2,1,2
3,1,1,3,1,1
1,2,2,2,1,2
2,1,2,2,1,1
1,1,2,2,1,2
1,1,1,2,1,1
3,2,2,2,1,2
2,1,1,2,1,1
2,1,2,2,1,2
2,2,2,2,2,2
1,2,2,2,2,2
1,1,2,1,1,2
2,1,1,3,1,1
1,1,1,3,1,1
2,2,1,2,1,2
2,1,1,2,1,2
1,1,1,3,1,1
2,2,2,2,1,1
3,2,2,2,1,1
1,2,2,2,2,2
2,1,1,2,1,1
2,1,1,2,1,1
1,1,1,3,1,2
3,1,1,2,1,2
1,1,1,3,1,1
2,1,1,2,1,1
2,1,1,2,2,1
2,1,2,2,2,2
2,1,2,2,1,2
3,2,1,2,1,2
2,1,2,2,2,1
2,2,2,2,2,2
1,2,2,3,2,1
1,2,2,3,2,2
1,1,2,2,1,1
2,1,2,2,2,1
1,1,1,2,1,2
1,1,2,3,1,2
1,1,2,1,1,1
1,2,2,2,1,1
2,1,1,2,2,1
2,1,1,2,1,2
3,1,2,2,1,2
1,1,1,2,2,2
1,1,1,3,1,1
3,1,2,1,2,1
2,2,2,2,2,2
2,1,2,2,1,2
1,2,1,2,1,1
1,2,1,2,1,2
2,1,2,3,1,2
2,2,1,3,2,2
1,1,2,3,1,1
2,1,1,3,2,1
2,2,2,3,2,1
2,2,2,2,1,1
2,2,2,2,1,2
1,2,2,3,2,1
2,1,1,2,1,2
1,1,1,3,1,1
1,1,1,3,1,1
3,2,1,3,1,2
1,2,1,3,1,1
1,2,2,2,1,1
1,2,2,1,1,1
2,1,1,3,1,2
2,1,2,3,1,2
1,1,1,3,1,2
2,1,1,1,1,1
2,1,1,3,2,2
2,2,2,3,2,2
1,1,1,2,1,2
2,2,1,3,1,2
1,1,1,2,1,2
2,1,1,3,1,2
2,1,1,3,1,2
1,1,1,2,1,1
1,1,1,3,2,1
1,1,1,2,1,2
2,1,1,1,2,1
1,1,1,3,1,1
1,2,1,2,2,1
1,2,1,2,2,1
1,2,2,3,2,2
1,2,2,2,2,2
2,2,1,2,2,2
2,2,2,1,1,1
2,1,1,3,2,1
1,2,2,2,2,2
1,2,1,2,2,1
2,1,1,2,1,2
2,2,1,2,1,1
2,1,1,2,1,2
2,1,2,2,1,1
2,1,1,2,1,2
2,1,1,2,1,1
2,1,1,2,1,2
2,1,1,2,1,2
2,1,1,2,1,1
2,1,1,2,1,1
2,1,1,2,1,1
1,2,1,3,2,1
1,2,1,3,2,1
1,2,2,2,2,2
2,1,1,2,2,2
1,2,1,3,2,2
1,2,1,2,2,2
1,2,1,2,2,1
1,2,1,3,2,2
1,2,1,2,2,1
1,1,1,2,2,1
1,1,1,2,2,1
1,2,1,3,2,1
1,1,2,2,2,1
1,2,1,3,2,2
2,1,1,2,2,1
2,1,1,2,1,1
2,1,1,1,1,2
2,1,1,2,1,2
1,1,1,2,1,1
2,1,1,2,2,2
2,1,1,2,1,2
2,1,1,2,2,1
1,1,1,2,2,1
2,1,1,2,2,1
2,1,1,3,2,2
2,1,1,2,1,1
2,1,1,2,2,2
2,1,1,3,1,2
2,1,1,3,1,1
2,2,2,2,2,2
2,1,1,2,1,2
2,1,1,3,1,2
2,1,1,2,1,2
2,1,1,2,2,1
2,1,1,3,1,1
2,1,1,3,2,1
2,1,1,3,1,2
2,1,1,3,2,1
2,1,1,3,2,1
1,1,1,2,2,2
2,1,1,2,2,1
1,2,1,1,1,2
2,2,1,3,1,1
2,1,1,2,1,2
2,1,1,3,1,2
1,1,2,2,2,2
2,1,1,2,2,1
1,1,1,2,2,2
2,2,2,3,1,1
2,1,1,3,1,2
2,1,1,2,1,2
2,1,1,2,1,2
1,1,1,2,2,1
1,1,1,2,2,1
1,2,1,2,1,2
2,1,1,2,1,2
1,1,1,1,2,2
1,1,1,1,1,1
2,1,1,2,2,2
2,1,1,2,2,1
2,2,1,1,1,1
1,2,1,2,2,1
2,2,1,3,1,2
1,1,2,2,2,2
2,1,2,3,2,1
2,1,2,2,2,1
1,1,1,2,2,1
1,1,1,1,2,1
2,1,1,3,1,1
2,1,1,2,2,2
1,1,1,2,2,1
1,2,1,2,2,2
2,1,2,2,1,1
2,1,1,3,2,1
1,1,1,2,2,1
1,1,1,2,2,2
2,2,2,2,1,1
3,1,1,2,2,2
3,2,1,2,1,1
2,2,2,2,2,1
2,2,1,2,2,2
3,2,2,2,2,1
2,2,1,3,2,1
2,2,1,3,2,1
1,1,1,2,2,1
2,2,2,2,2,1
1,2,2,2,2,1
2,2,1,3,2,1
2,2,2,3,2,2
2,2,2,3,2,2
2,1,1,2,2,1
2,1,1,2,2,2
2,2,1,2,2,2
2,1,2,3,2,2
1,2,1,2,2,2
1,2,1,2,2,2
1,2,1,2,2,2
2,2,1,2,2,2
2,2,1,3,2,1
2,2,1,2,2,1
3,2,1,3,2,1
3,2,2,2,2,1
2,2,2,3,2,2
3,1,2,2,2,1
2,2,2,2,2,2
1,1,1,2,2,1
2,1,2,1,2,2
3,2,2,2,2,2
3,1,2,2,2,2
2,2,1,1,2,1
1,2,1,2,2,1
1,2,2,2,2,1
2,2,1,2,2,1
2,1,1,1,2,2
1,2,2,2,2,2
1,1,2,2,2,1
1,1,1,2,2,1
2,1,1,2,1,1
1,1,1,2,1,1
2,1,2,3,1,2
2,1,2,2,1,1
1,1,2,2,1,2
2,1,2,2,1,2
2,2,1,3,1,1
2,1,2,2,1,1
2,1,1,2,1,2
2,1,2,2,1,1
2,1,1,2,1,1
2,2,1,2,1,2
2,1,1,2,1,1
2,2,1,2,1,1
2,1,1,2,1,2
1,1,1,3,1,2
2,1,2,3,1,2
1,1,1,3,1,2
2,1,1,3,1,1
2,1,1,3,1,1
1,1,1,3,1,2
1,2,1,2,1,1
2,1,1,2,1,2
2,1,1,2,1,2
1,1,2,2,1,2
2,2,2,2,1,1
2,1,2,3,2,2
1,1,1,3,2,2
1,2,2,2,1,2
1,2,2,1,2,2
1,2,1,2,2,2
3,2,2,2,2,1
1,1,1,3,2,1
1,2,2,2,2,2
1,1,1,3,2,2
1,2,2,2,2,2
1,1,2,2,2,1
1,2,2,1,2,2
1,2,1,3,2,1
1,2,1,3,2,2
1,1,2,3,2,2
3,2,2,2,1,1
1,2,2,2,2,1
2,2,2,2,2,2
3,1,1,2,2,2
1,1,2,1,2,1
1,2,2,3,2,1
1,1,2,1,2,2
1,2,2,3,2,2
1,2,1,2,2,1
2,2,2,2,2,2
1,1,1,3,1,1
1,2,2,2,2,2
3,1,2,2,2,2
1,2,1,3,2,1
2,2,2,2,2,2
1,2,1,2,2,2
3,2,2,2,2,2
2,1,2,2,1,2
3,2,2,2,2,1
3,1,2,2,1,2
2,1,2,2,1,2
2,2,1,2,2,2
1,2,2,2,2,1
3,2,1,1,2,1
2,2,1,2,2,2
1,1,1,2,2,2
1,2,2,1,2,2
3,1,1,1,2,1
3,1,2,2,2,2
2,2,1,2,2,2
3,1,1,2,2,1
3,1,1,2,2,2
2,2,2,2,1,1
1,2,1,2,2,2
1,2,1,2,2,2
2,2,2,2,2,2
1,2,2,2,2,1
1,1,1,1,2,2
1,2,2,1,2,1
3,2,2,1,2,1
1,1,1,2,2,2
1,2,1,1,2,1
1,1,1,3,2,2
1,2,1,3,2,2
3,2,1,1,2,1
2,2,2,2,1,2
2,1,1,3,2,1
2,1,2,3,2,2
1,1,1,2,1,1
2,1,1,3,1,2
2,1,2,2,1,1
1,1,2,2,1,2
2,1,1,3,1,2
2,2,2,2,1,1
2,1,2,3,1,2
1,1,2,3,1,1
2,1,2,2,1,1
1,1,2,2,1,1
2,2,2,2,1,2
2,1,1,2,1,1
1,1,2,3,1,2
2,2,1,2,1,2
1,2,1,2,1,1
1,1,1,3,1,1
2,1,2,3,2,1
1,2,1,1,2,2
2,2,1,2,2,1
2,2,2,2,2,2
2,2,2,2,2,1
1,1,1,1,2,1
2,1,2,2,2,1
2,1,1,2,2,1
2,1,2,2,2,2
2,2,2,2,2,1
2,1,1,1,2,2
3,2,1,1,2,1
2,2,1,1,2,1
2,1,1,1,2,2
2,2,2,2,2,1
2,2,1,2,2,2
2,1,2,2,2,1
3,2,1,2,2,1
2,1,1,2,2,1
1,1,1,2,1,2
2,1,1,2,2,1
1,1,1,2,2,2
1,2,1,2,2,1
2,1,1,1,2,1
2,1,1,2,2,1
2,1,1,2,2,1
2,1,1,2,2,2
1,2,2,2,1,2
1,1,1,2,1,1
2,1,1,2,2,1
1,2,2,2,2,2
1,2,1,2,2,1
1,2,2,1,2,2
1,1,2,2,2,1
1,1,1,2,2,2
1,1,1,2,2,2
1,1,1,2,1,2
1,2,1,1,1,1
1,1,1,3,2,2
1,2,2,2,1,1
2,2,1,2,2,1
1,1,2,2,2,1
3,2,2,2,2,2
2,2,2,2,2,1
3,1,1,2,2,1
3,1,1,3,2,2
3,2,2,2,2,2
1,1,1,2,2,1
3,2,2,1,2,2
3,1,1,1,2,2
3,2,2,1,2,1
2,2,2,2,2,2
1,2,2,2,1,1
1,1,1,2,2,2
1,2,2,2,2,2
3,2,1,2,2,2
3,1,1,2,2,1
1,2,2,2,2,2
3,2,2,2,2,1
3,1,1,2,2,2
3,1,1,1,2,1
3,2,2,2,2,1
1,1,1,2,1,2
2,1,1,2,1,1
2,1,1,2,1,1
2,1,1,2,1,2
2,1,1,2,2,1
1,1,1,2,1,2
2,1,1,3,1,1
2,1,1,2,1,2
2,1,1,2,2,1
2,1,1,2,1,1
2,1,1,2,2,2
2,1,1,2,2,2
2,2,1,3,1,1
2,1,1,2,1,2
2,1,1,2,1,1
3,1,2,3,1,2
2,2,1,2,1,1
1,1,1,2,1,1
3,2,1,3,1,2
3,1,1,3,1,2
2,1,1,3,1,2
2,1,1,3,1,1
1,1,1,3,1,2
2,1,1,2,1,2
2,1,1,3,1,1
2,1,1,2,1,2
1,1,1,3,1,1
2,2,1,2,1,1
2,2,1,3,1,1
1,2,1,3,1,1
2,1,1,2,1,1
2,1,1,3,1,2
2,1,1,3,1,1
2,1,1,2,1,2
2,2,1,3,1,2
1,1,1,3,1,2
1,1,1,2,1,1
2,1,2,3,1,1
3,1,1,2,1,2
2,2,1,3,1,2
2,1,1,3,1,2
2,2,1,3,1,1
2,1,1,3,1,1
2,2,1,3,1,1
2,1,1,2,1,2
2,1,1,3,1,1
2,1,1,3,1,1
2,2,2,2,1,1
2,1,2,3,1,2
2,1,1,2,1,1
1,1,1,2,1,2
2,2,2,2,1,2
3,1,1,2,1,1
2,2,2,2,2,1
3,1,1,2,1,2
2,1,1,2,1,1
2,1,2,2,1,1
2,1,1,2,1,1
3,1,1,2,1,2
3,1,1,3,1,2
2,2,2,2,2,1
2,1,1,1,2,1
3,2,2,2,1,2
1,2,1,1,2,1
1,2,1,2,2,2
3,2,2,2,2,1
1,2,1,2,2,2
1,1,1,2,2,2
1,2,2,1,2,2
3,2,2,2,1,1
3,1,1,1,2,1
1,2,2,1,2,2
1,2,1,2,2,1
3,2,2,2,1,2
1,1,2,2,2,2
1,2,1,2,2,2
1,2,2,1,2,1
1,1,2,2,2,1
2,2,2,2,2,2
2,2,2,1,2,1
2,1,1,2,2,2
3,1,1,1,2,2
1,2,2,2,2,1
1,2,2,2,2,1
3,2,2,2,2,1
1,1,1,1,2,2
1,2,2,2,1,2
2,1,1,2,2,2
3,2,1,1,2,2
3,1,2,2,2,1
1,2,2,2,2,1
3,2,1,2,2,1
3,2,2,2,2,1
3,2,2,2,2,2
2,2,2,2,1,2
3,1,1,1,2,1
3,1,1,2,2,1
1,1,2,2,2,2
3,1,2,1,2,1
3,2,2,2,2,2
3,2,2,2,2,2
3,1,2,2,2,2
1,2,1,2,2,1
1,2,2,2,2,1
1,2,2,2,2,1
3,2,2,1,2,1
2,2,2,2,2,1
3,2,2,2,2,2
3,2,2,2,2,1
1,1,1,2,2,2
3,2,1,1,2,1
3,1,1,2,2,1
2,1,1,1,2,2
2,1,1,2,2,2
3,2,1,2,2,1
3,2,2,2,2,1
1,2,1,3,2,2
3,2,1,2,2,2
3,1,2,2,2,1
3,2,2,2,2,2
3,1,1,2,2,1
3,1,1,2,1,2
2,2,1,2,2,2
3,2,1,2,2,2
3,2,2,1,2,2
1,2,2,1,2,2
3,2,2,2,2,1
3,1,1,2,2,1
3,2,1,2,2,1
3,2,2,2,2,1
3,1,2,2,2,2
3,2,2,2,2,2
3,2,1,2,2,1
3,1,1,2,1,2
3,2,2,2,2,2
3,1,1,2,2,1
1,2,1,2,2,1
2,2,1,2,1,1
1,2,2,2,1,2
2,1,2,2,1,2
3,1,1,2,1,1
1,1,1,2,1,1
2,1,2,2,1,2
2,1,1,2,1,2
2,1,1,2,1,2
2,1,1,2,1,2
2,1,1,2,1,1
2,2,2,2,2,2
2,1,1,3,2,1
2,1,2,2,1,1
3,1,2,2,2,1
3,2,1,2,1,2
3,2,2,1,2,2
1,2,1,2,2,1
2,2,2,2,2,1
3,2,2,3,2,2
3,2,1,2,2,1
3,1,2,2,1,2
3,2,2,2,2,1
3,1,1,2,2,1
3,2,1,2,2,2
2,2,2,2,1,2
3,1,2,2,2,1
3,2,2,2,2,1
1,1,2,3,2,2
1,2,1,2,2,1
2,2,2,2,1,2
2,2,1,1,2,1
2,1,2,2,2,2
2,1,1,2,2,1
3,1,2,2,2,1
3,1,2,2,2,1
2,1,1,1,2,1
3,2,2,1,2,1
2,1,1,2,2,2
2,1,2,2,2,1
2,1,2,2,2,2
1,1,1,1,2,2
2,1,2,2,1,1
2,2,2,3,1,2
2,2,2,2,1,2
2,2,2,2,1,1
2,1,2,2,1,1
2,1,1,2,1,2
1,2,2,2,1,2
1,2,2,2,1,2
2,1,1,2,1,2
2,1,1,2,1,2
2,1,1,2,1,2
1,2,2,2,1,2
2,1,2,3,2,1
2,1,1,3,2,1
1,1,2,2,2,2
1,1,1,3,1,2
1,1,1,2,2,2
1,1,1,3,1,2
1,1,1,3,1,2
1,2,2,3,1,1
2,1,1,3,2,2
3,1,2,3,1,1
2,1,2,1,1,2
1,2,2,1,2,1
2,2,1,2,2,2
2,1,1,2,2,1
1,1,1,3,1,1
1,1,1,3,1,1
1,1,1,3,1,1
1,1,2,3,1,2
3,2,2,3,2,1
1,2,2,3,2,1
2,1,2,3,1,1
1,1,1,3,1,1
2,1,1,3,1,1
3,1,1,1,1,2
3,2,2,2,1,2
2,1,1,3,1,1
2,1,2,2,2,2
2,1,1,3,1,2
2,2,2,1,2,2
1,1,1,3,1,2
1,1,1,3,1,1
2,1,1,3,1,1
2,1,1,2,1,2
2,1,1,2,1,2
1,1,1,3,1,1
2,1,1,3,1,2
1,1,1,3,1,2
2,2,2,3,1,2
2,2,2,3,1,2
3,1,1,3,1,1
2,2,1,3,2,1
1,1,1,3,2,2
2,1,1,3,1,1
1,1,2,3,2,1
2,2,2,3,1,1
3,1,2,2,1,1
1,1,1,3,1,1
1,1,1,3,1,2
1,1,1,3,2,1
1,1,2,3,1,1
2,2,2,3,1,2
2,1,1,3,1,2
2,1,1,3,1,2
2,1,1,3,1,2
1,1,1,2,1,1
2,1,1,2,1,1
2,1,1,2,1,2
1,1,1,2,1,2
2,1,1,3,2,1
2,2,1,2,1,1
2,1,1,3,1,1
3,1,2,2,1,1
3,2,2,2,1,1
1,1,1,3,1,2
1,1,1,3,1,1
2,1,1,3,1,2
2,1,2,3,1,2
1,1,1,3,1,1
2,2,1,3,2,1
1,1,1,3,1,1
2,1,1,3,1,2
2,1,2,3,1,2
2,1,1,3,2,2
1,1,1,3,1,1
2,1,1,3,1,2
1,1,1,3,1,2
2,1,1,3,1,2
2,2,1,3,2,2
2,2,1,3,2,2
2,2,1,2,2,1
1,2,2,3,2,2
2,2,1,3,2,2
2,2,2,3,2,2
1,1,2,3,2,2
2,2,1,3,2,2
2,2,2,3,2,2
2,2,1,3,2,1
1,1,2,3,1,2
2,1,1,3,1,2
2,2,1,3,1,1
1,1,1,3,1,2
2,1,2,2,1,1
2,1,2,2,1,2
1,1,1,3,1,1
2,2,2,2,1,2
1,1,2,3,1,2
1,1,1,3,1,2
2,1,2,3,1,2
1,1,1,3,1,2
1,1,2,3,2,1
1,1,1,3,2,2
2,2,1,1,2,2
2,1,1,2,1,1
2,2,2,1,1,2
2,1,1,3,1,1
1,2,1,3,1,2
2,2,1,3,2,2
2,1,2,3,1,2
2,2,1,3,2,2
1,2,1,1,2,2
2,2,2,3,2,2
2,2,2,3,2,1
1,1,1,3,2,2
1,2,2,3,2,1
2,2,2,1,2,2
3,2,2,1,2,1
1,2,2,3,2,1
1,2,1,1,2,1
2,1,1,3,2,2
2,1,1,1,2,1
1,2,1,3,2,2
1,1,1,3,1,2
3,2,1,2,1,1
1,1,1,3,1,1
2,1,1,3,1,2
2,1,1,1,1,1
3,2,1,3,1,1
2,1,1,3,1,1
2,1,1,2,1,2
2,1,1,3,2,2
1,1,2,3,1,2
1,2,1,2,1,1
1,2,1,3,1,1
2,2,1,2,1,1
2,2,2,2,1,2
2,2,2,3,1,2
2,1,1,3,1,2
1,1,1,3,1,1
1,1,1,3,1,1
1,1,1,3,1,2
2,1,1,3,1,1
2,1,1,3,1,2
2,1,2,2,1,1
2,2,2,1,2,1
3,1,1,3,1,2
2,1,2,2,1,1
2,1,1,3,1,2
1,1,1,3,1,1
2,2,1,2,1,1
2,1,1,3,1,2
2,1,1,3,1,1
1,1,1,3,1,1
2,2,2,3,1,2
1,2,1,3,1,2
2,2,2,1,1,1
1,1,1,3,1,1
2,1,1,3,1,1
1,1,1,3,1,2
3,1,1,2,1,1
2,1,1,2,1,2
2,1,1,2,1,1
3,1,1,3,1,2
2,1,1,2,2,2
1,1,1,2,1,2
1,1,1,3,1,1
1,1,1,3,2,2
3,1,1,2,1,1
3,2,2,1,1,1
3,2,2,1,1,1
2,1,1,2,1,1
1,1,1,3,1,2
3,1,1,2,1,1
2,1,1,3,1,2
1,1,1,3,1,1
3,1,1,2,1,2
2,2,1,3,1,2
2,2,2,2,1,1
1,2,1,3,1,1
3,2,2,2,1,2
1,1,1,3,1,1
1,1,1,2,2,2
2,1,1,3,1,1
2,1,2,3,2,2
1,1,2,3,1,2
2,1,1,2,1,1
1,1,1,3,1,2
1,1,2,3,1,2
2,1,2,2,1,2
1,1,1,2,2,2
2,2,2,3,1,2
2,1,1,3,1,1
3,2,1,2,1,1
2,1,1,1,1,2
2,2,2,2,1,1
2,2,1,2,2,2
2,2,2,2,2,1
2,2,2,3,2,1
2,1,1,2,1,1
2,1,2,2,2,1
2,1,2,2,2,2
2,1,1,3,1,2
2,2,1,3,2,1
2,1,1,3,1,2
2,2,1,3,1,2
2,2,2,3,1,2
1,1,1,3,1,2
2,1,1,3,2,2
2,2,2,2,1,2
2,2,2,3,1,1
2,1,2,2,1,1
3,2,2,2,1,1
2,1,1,3,1,1
2,1,1,3,1,2
1,1,1,3,1,1
1,1,1,3,1,2
2,1,1,3,1,2
2,2,1,3,1,2
1,2,1,3,2,2
2,2,2,2,1,2
1,1,2,3,1,1
2,2,1,3,2,1
1,1,1,3,1,2
1,2,2,3,2,1
2,2,2,3,2,2
1,1,1,3,2,2
3,2,1,3,1,1
1,1,1,3,2,1
2,1,1,3,1,2
2,1,1,3,1,2
2,2,2,3,2,2
1,2,2,3,2,1
1,1,2,3,1,2
2,1,1,3,1,2
1,1,1,3,1,2
2,1,1,3,1,1
2,1,1,3,1,2
1,1,2,3,1,2
2,1,1,3,1,1
1,2,2,2,2,1
1,1,2,3,1,2
2,1,1,3,1,2
2,2,2,3,2,2
2,1,1,3,1,2
2,2,2,3,1,2
1,1,1,3,1,2
1,1,1,3,1,2
2,1,1,3,2,1
1,1,2,3,2,1
1,1,1,3,1,2
1,2,1,3,1,1
2,1,2,3,1,1
1,2,2,2,2,1
1,2,2,3,2,1
